name,vendor,eta_history_json,cuisine,tags,evidence_links,location
"Quán Phở A","GrabFood","[20, 25, 22, 30]","Vietnamese","Pho,Noodle,Breakfast","https://grab.com/1|https://review.com/1","Ocean Park 1"
"Cơm Tấm B","ShopeeFood","[35, 40, 38]","Vietnamese","Rice,Lunch","https://shopee.com/2|https://review.com/2","Ocean Park 1"
"Bún Chả C","Gojek","[15, 20, 18]","Vietnamese","Noodle,Lunch,Fast","https://gojek.com/3","Ocean Park 2"
"Trà Sữa D","Baemin","[10, 15, 12, 10]","Drinks","Boba,Sweet","https://baemin.com/4|https://review.com/4","Ocean Park 1"
"Pizza E","GrabFood","[45, 50, 40]","Italian","Pizza,Dinner","https://grab.com/5","Ocean Park 3"
"Bánh Mì F","ShopeeFood","[5, 10, 8]","Vietnamese","Bread,Fast,Breakfast","https://shopee.com/6","Ocean Park 1"
"Sushi G","GrabFood","[30, 35, 32]","Japanese","Sushi,Dinner","https://grab.com/7","Ocean Park 2"
"KFC H","Gojek","[25, 30, 28]","FastFood","Chicken,Fast","https://gojek.com/8","Ocean Park 1"
"Lotteria I","ShopeeFood","[20, 25, 22]","FastFood","Burger,Fast","https://shopee.com/9","Ocean Park 1"
"Highlands Coffee J","GrabFood","[15, 20, 15]","Drinks","Coffee,Breakfast","https://grab.com/10","Ocean Park 2"
"The Coffee House K","Gojek","[20, 25, 20]","Drinks","Coffee,Dessert","https://gojek.com/11","Ocean Park 1"
"Phúc Long L","ShopeeFood","[15, 20, 18]","Drinks","Tea,Sweet","https://shopee.com/12","Ocean Park 3"
"Bún Bò Huế M","GrabFood","[25, 30, 28]","Vietnamese","Noodle,Spicy","https://grab.com/13","Ocean Park 1"
"Bún Riêu N","Gojek","[20, 25, 22]","Vietnamese","Noodle,Lunch","https://gojek.com/14","Ocean Park 1"
"Bánh Cuốn O","ShopeeFood","[15, 20, 18]","Vietnamese","Breakfast,Light","https://shopee.com/15","Ocean Park 2"
"Mì Cay P","GrabFood","[35, 40, 38]","Korean","Noodle,Spicy,Dinner","https://grab.com/16","Ocean Park 1"
"Tteokbokki Q","Gojek","[30, 35, 32]","Korean","Spicy,Snack","https://gojek.com/17","Ocean Park 1"
"Dimsum R","ShopeeFood","[40, 45, 42]","Chinese","Dimsum,Dinner","https://shopee.com/18","Ocean Park 3"
"Vịt Quay S","GrabFood","[45, 50, 48]","Chinese","Meat,Dinner","https://grab.com/19","Ocean Park 1"
"Heo Quay T","Gojek","[40, 45, 42]","Vietnamese","Meat,Lunch","https://gojek.com/20","Ocean Park 1"
"Cơm Gà U","ShopeeFood","[25, 30, 28]","Vietnamese","Rice,Lunch","https://shopee.com/21","Ocean Park 2"
"Lẩu V","GrabFood","[50, 60, 55]","Vietnamese","Hotpot,Group","https://grab.com/22","Ocean Park 1"
"Nướng W","Gojek","[45, 50, 48]","Vietnamese","BBQ,Group","https://gojek.com/23","Ocean Park 1"
"Ốc X","ShopeeFood","[30, 35, 32]","Vietnamese","Seafood,Night","https://shopee.com/24","Ocean Park 3"
"Chè Y","GrabFood","[15, 20, 18]","Dessert","Sweet,Snack","https://grab.com/25","Ocean Park 1"
"Kem Z","Gojek","[10, 15, 12]","Dessert","IceCream,Sweet","https://gojek.com/26","Ocean Park 1"
"Bánh Tráng Trộn AA","ShopeeFood","[15, 20, 18]","Snack","Spicy,Fast","https://shopee.com/27","Ocean Park 2"
"Gỏi Cuốn BB","GrabFood","[20, 25, 22]","Vietnamese","Healthy,Snack","https://grab.com/28","Ocean Park 1"
"Bún Đậu Mắm Tôm CC","Gojek","[25, 30, 28]","Vietnamese","Lunch,Smelly","https://gojek.com/29","Ocean Park 1"
"Xôi Yến DD","ShopeeFood","[15, 20, 18]","Vietnamese","Breakfast,Rice","https://shopee.com/30","Ocean Park 3"
"Bánh Canh EE","GrabFood","[25, 30, 28]","Vietnamese","Noodle,Lunch","https://grab.com/31","Ocean Park 1"
